"key","R0","VE","coverage","traveller_ob_prob","worker_ob_prob","chance50","chance95"
"5_0.5_0.1",5,0.5,0.1,0.00903,0.14613,46.2700000000186,198.825999999978
"6_0.5_0.1",6,0.5,0.1,0.01352,0.16433,29.4833333333227,128.466666666674
"7_0.5_0.1",7,0.5,0.1,0.0137,0.17484,25.7616666666581,108.347999999981
"8_0.5_0.1",8,0.5,0.1,0.01881,0.18244,20.2866666666232,87.9893333333544
"9_0.5_0.1",9,0.5,0.1,0.02028,0.19702,15.7200000000012,68.7266666666837
"10_0.5_0.1",10,0.5,0.1,0.02102,0.20334,15.0633333333535,64.6143333333384
"5_0.6_0.1",5,0.6,0.1,0.00891,0.12914,72.0366666666232,309.581166666634
"6_0.6_0.1",6,0.6,0.1,0.00925,0.14966,56.1349999999984,253.393333333317
"7_0.6_0.1",7,0.6,0.1,0.01261,0.15887,40.9533333332511,178.870000000112
"8_0.6_0.1",8,0.6,0.1,0.01329,0.17114,37.236666666664,160.704333333357
"9_0.6_0.1",9,0.6,0.1,0.01498,0.1762,31.3083333333489,137.218500000008
"10_0.6_0.1",10,0.6,0.1,0.01752,0.18825,23.7800000000279,103.443333333381
"5_0.7_0.1",5,0.7,0.1,0.00645,0.11452,151.766666666721,669.841333333432
"6_0.7_0.1",6,0.7,0.1,0.00708,0.12124,107.666666666511,465.421333333268
"7_0.7_0.1",7,0.7,0.1,0.01039,0.13773,87.0366666666814,367.177499999932
"8_0.7_0.1",8,0.7,0.1,0.0098,0.15241,70.7766666666139,302.826666666588
"9_0.7_0.1",9,0.7,0.1,0.01195,0.15702,57.6666666667443,255.131999999913
"10_0.7_0.1",10,0.7,0.1,0.01556,0.16802,44.6016666666255,193.145166666674
"5_0.8_0.1",5,0.8,0.1,0.00322,0.0832,494.239999999991,2163.58633333326
"6_0.8_0.1",6,0.8,0.1,0.00451,0.09048,333.899999999907,1372.66500000001
"7_0.8_0.1",7,0.8,0.1,0.00415,0.10834,262.966666666791,1114.54216666669
"8_0.8_0.1",8,0.8,0.1,0.00881,0.11587,163,708.130666666664
"9_0.8_0.1",9,0.8,0.1,0.00678,0.12944,164.669999999925,716.973333333107
"10_0.8_0.1",10,0.8,0.1,0.00889,0.13534,138.876666666707,593.685999999998
"5_0.9_0.1",5,0.9,0.1,0.00227,0.03981,2054.22000000021,8897.21833333338
"6_0.9_0.1",6,0.9,0.1,0.00224,0.05574,1769.00166666741,7339.97250000015
"7_0.9_0.1",7,0.9,0.1,0.00327,0.05665,1219.17333333334,5246.97833333318
"8_0.9_0.1",8,0.9,0.1,0.00326,0.06035,1292.06833333324,5796.23100000029
"9_0.9_0.1",9,0.9,0.1,0.00331,0.08245,997.926666666754,4476.54733333308
"10_0.9_0.1",10,0.9,0.1,0.00413,0.0869,1256.73333333334,5437.49866666682
"5_0.5_0.2",5,0.5,0.2,0.0085,0.13951,47.8366666666698,203.611833333265
"6_0.5_0.2",6,0.5,0.2,0.01268,0.15995,30.9166666666715,135.085666666692
"7_0.5_0.2",7,0.5,0.2,0.01388,0.17164,25.1566666667009,108.383333333279
